Original Text,Translated Text,Character Count
"Nasabah dapat mendaftarkan rekening penerima dana di bank lain
                pada myBCA Bisnis. Hanya data rekening penerima dana yang telah
                didaftarkan oleh Nasabah yang akan ditampilkan di daftar
                rekening tujuan pada myBCA Bisnis.","客户可在另一家银行注册受益人账户
                在 myBCA Business 上注册受益人账户。只有客户已注册的受益人账户数据
                才会显示在 myBCA Bisnis 的目标账户列表中。
                您可以在 myBCA Bisnis.网站上注册受益人账户。",266
"Dalam hal Nasabah menghendaki adanya pengiriman notifikasi
                transaksi kiriman uang antarbank ke alamat","如果客户希望将银行间汇款交易通知发送至
                银行间汇款交易的通知发送到",117
email,电子邮件,5
"penerima dana maka Nasabah dapat mendaftarkan
                alamat","那么客户可以注册
                地址",68
email,电子邮件,5
"penerima dana untuk keperluan pengiriman
                notifikasi transaksi kiriman uang antarbank tersebut. Pengiriman
                notifikasi transaksi kiriman uang antarbank ke alamat","收款人，以便发送
                银行间汇款交易通知。发送
                将银行间汇款交易通知书送交以下地址",191
email,电子邮件,5
"penerima dana akan dilakukan setiap kali Nasabah
                melakukan transaksi kiriman uang antarbank ke rekening penerima
                dana atau","每当客户
                向收款人的账户进行跨行汇款交易，或
                账户或",154
virtual account,虚拟账户,15
"yang telah didaftarkan pada
                myBCA Bisnis. Nasabah wajib memastikan alamat","已在
                myBCA Business。客户必须确保地址",89
email,电子邮件,5
yang didaftarkan Nasabah adalah benar alamat,客户登记的地址是否正确,44
email,电子邮件,5
"dari penerima dana transaksi kiriman uang
                antarbank. Nasabah bertanggung jawab sepenuhnya atas segala
                akibat yang timbul sehubungan dengan pengiriman notifikasi
                transaksi kiriman uang antarbank tersebut ke alamat","汇款交易资金的收款人
                银行间。客户对因发送通知而产生的任何后果负全部责任。
                与发送通知有关的任何后果由客户承担全部责任。
                向以下地址发送跨行汇款交易通知",260
email,电子邮件,5
"penerima dana yang didaftarkan oleh Nasabah pada
                myBCA Bisnis.","客户在
                myBCA Business。",78
"Nasabah terikat pada semua kewajiban dan tanggung jawab
                berdasarkan ketentuan hukum yang berlaku di Indonesia maupun
                ketentuan yang berlaku di bank koresponden/bank pembayar. Dalam
                hal BCA dibebankan biaya oleh bank koresponden/bank pembayar,
                Nasabah wajib mengganti semua biaya yang dibebankan kepada BCA
                terkait dengan kiriman uang dari Nasabah.","客户受以下所有义务和责任的约束
                根据适用于印度尼西亚的法律规定和
                代理银行/付款银行的适用规定。在以下情况下
                如果代理银行/付款银行向 BCA 收取费用、
                客户有义务偿还 BCA 的所有费用
                与客户汇款相关的所有费用。",427
"Nasabah bertanggung jawab sepenuhnya atas kebenaran data
                penerima dana yang didaftarkan atau diinput dan/atau pengkinian
                data penerima dana yang sudah didaftarkan atau diinput
                sebelumnya oleh Nasabah di myBCA Bisnis.","客户对数据的正确性负全部责任
                登记或输入的收款人数据的正确性以及/或更新
                客户之前在 myBCA Bisnis 登记或输入的收款人数据的正确性负全部责任。
                客户之前在 myBCA Bisnis 登记或输入的收款人资料的正确性负全责。",264
"Dalam hal terdapat perbedaan antara nomor rekening dan nama
                penerima dana yang dicantumkan dalam kolom transaksi kiriman
                uang antarbank yang tersedia di myBCA Bisnis dengan nama
                penerima dana pada bank pembayar maka pembayaran kepada penerima
                dana dapat dilakukan oleh bank pembayar berdasarkan nomor
                rekening penerima dana atau sesuai dengan kebijakan bank
                pembayar.","如果在 myBCA Bisnis 上的跨行汇款交易栏中的账户号码和收款人姓名与
                如果在 myBCA Bisnis 中的银行间汇款交易栏中填写的收款人账号和姓名与在 myBCA Bisnis 中的银行间汇款交易栏中填写的收款人姓名不一致。
                在 myBCA Bisnis 上的银行间汇款交易栏中的账号和收款人姓名与付款银行的收款人姓名不一致。
                在付款人银行的收款人姓名列明的银行间汇款交易栏中，付款人银行可根据 ""收款人姓名 ""向收款人付款。
                付款人银行可根据收款人的
                付款人银行可根据帐号或付款人银行的政策向收款人付款。
                付款人银行政策。",463
"BCA dan/atau bank koresponden tidak berkewajiban atau tidak
                bertanggung jawab atas kerugian dalam bentuk apa pun yang
                disebabkan adanya peraturan atau kebijakan pemerintah negara
                terkait atau sebab-sebab lainnya di luar kemampuan BCA atau bank
                koresponden.","北京银行和/或代理行对任何损失概不负责。
                因以下原因造成的任何形式的损失
                国家政府的法规或政策所造成的任何形式的损失。
                对于因国家政府的法规或政策或 BCA 或代理行无法控制的其他原因而造成的任何形式的损失，BCA 和/或代理行概不负责。
                代理行。",320
"BCA tidak bertanggung jawab atas segala akibat yang timbul
                sehubungan dengan adanya ketentuan peraturan perundang-undangan
                atau kebiasaan di negara dimana bank koresponden atau bank
                pembayar berada dan Nasabah dengan ini membebaskan BCA dari
                segala macam tuntutan dan/atau gugatan dari pihak manapun.","BCA 不对与法律法规规定有关的任何后果负责。
                与代理行或付款行所在国的法律法规或海关规定有关的
                代理行或付款行所在国的法律法规或海关规定而产生的任何后果，BCA概不负责。
                付款人银行所在国的法律、法规或海关规定而产生的任何后果，客户特此免除 BCA 的责任。
                任何一方提出的各种索赔和/或诉讼。",364
"Nasabah dengan ini memberikan persetujuan kepada BCA untuk
                memberikan data yang didaftarkan atau diinput oleh Nasabah pada
                aplikasi myBCA Bisnis kepada bank koresponden/bank pembayar
                dalam rangka upaya penerusan transaksi kiriman uang Nasabah.","客户特此同意 BCA
                向代理银行/付款银行提供客户在
                myBCA Bisnis应用程序中登记或输入的数据提供给代理银行/付款银行，以便转发客户的汇款交易。
                以转发客户的汇款交易。",291
"Nasabah dengan ini memberikan persetujuan kepada BCA untuk
                memberikan:","客户特此同意 BCA
                提供",86
"data yang didaftarkan, diinput, atau di-",注册、输入或登录的数据。,40
upload,上传,6
"oleh
                    Nasabah pada aplikasi myBCA Bisnis; dan","由
                    客户在 ""我的BBCA ""业务应用程序上；以及",64
"data lainnya sesuai dengan yang dipersyaratkan dalam
                    ketentuan Anti Pencucian Uang, Pencegahan Pendanaan
                    Terorisme, dan Pencegahan Pendanaan Proliferasi Senjata
                    Pemusnah Massal (APU, PPT, dan PPPSPM) yang berlaku;","反洗钱、打击资助恐怖主义行为
                    反洗钱、打击资助恐怖主义行为和防止资助大规模毁灭性武器扩散
                    反洗钱、打击资助恐怖主义和防止资助大规模杀伤性武器扩散（AML、CFT 和 PPPSPM）规定所要求的其他数据。
                    适用的反洗钱、打击资助恐怖主义和防止资助大规模杀伤性武器扩散（AML、CFT 和 PPPSPM）规定所要求的其他数据；",273
"kepada bank pembayar/bank koresponden sebagai upaya penerusan
                transaksi kiriman uang atau dalam rangka memenuhi ketentuan
                hukum yang berlaku dan/atau ketentuan yang berlaku pada bank
                koresponden/bank pembayar.","向付款人的银行/代理行汇款，作为转发努力
                汇款交易，或为了履行代理行/付款行的适用法律和/或适用法规的规定。
                适用法律和/或代理行/付款行的适用规定。
                代理行/付款行。",257
Transaksi Payroll,Transaxi 工资单,17
"Nasabah dapat menentukan waktu dan tanggal pemrosesan transaksi
                Payroll yang dilakukan dengan menggunakan myBCA Bisnis sesuai
                dengan waktu dan tanggal pemrosesan transaksi yang berlaku di
                BCA. BCA berhak menolak memproses transaksi Payroll di luar
                waktu dan tanggal pemrosesan transaksi yang berlaku di BCA.","客户可以决定交易处理的时间和日期
                使用 myBCA Business 进行的薪资交易符合
                的交易处理时间和日期。
                BCA。BCA 有权拒绝在 BCA 适用的交易处理时间和日期之外处理薪资交易。
                BCA有权拒绝在BCA适用的交易处理时间和日期之外处理薪资交易。",371
Nasabah harus melakukan,客户必须做到,23
upload,上传,6
file,文件,4
"transaksi
                Payroll selambat-lambatnya 1 (satu) hari kalender sebelum
                tanggal pemrosesan transaksi Payroll yang diinginkan oleh
                Nasabah.","交易
                薪资交易的处理日期不迟于
                前一个日历日。
                客户。",182
"Nasabah mengikatkan diri untuk melakukan otorisasi atas
                transaksi Payroll selambat-lambatnya pada 1 (satu) hari kalender
                sebelum transaksi Payroll tersebut diproses. Dalam hal otorisasi
                transaksi Payroll baru dilakukan oleh Nasabah pada hari
                transaksi Payroll maka BCA berhak mengenakan biaya tambahan
                kepada Nasabah. Biaya tersebut akan didebet dari rekening sumber
                dana transaksi Payroll.","客户有义务在以下时间内进行授权
                薪资交易的授权。
                前进行授权。如果
                如果客户在工资单交易当天授权进行新的工资单交易，则北京银行有权收取额外费用。
                如果客户在工资单交易当天授权进行新的工资单交易，BCA 有权向客户收取额外费用。
                费用。该费用将从薪资交易资金的来源帐户中扣除。
                薪资交易资金的来源账户中扣除。",486
"Transaksi Payroll akan diproses dengan ketentuan sebagai
                berikut:","薪资交易将按以下条件处理
                如下所示：",81
"sesuai dengan waktu pemrosesan transaksi Payroll apabila
                    transaksi Payroll tersebut diotorisasi sebelum waktu
                    pemrosesan transaksi Payroll;","根据工资单交易的处理时间，如果
                    工资单交易授权时间早于
                    薪资交易处理时间；",179
"pada saat transaksi Payroll diotorisasi apabila otorisasi
                    baru dilakukan pada atau setelah melewati waktu pemrosesan
                    transaksi Payroll yang ditentukan Nasabah sepanjang
                    otorisasi tersebut dilakukan tidak melebihi jangka waktu
                    sebagaimana ditetapkan pada butir K.11.;","如果授权是在工资单处理时间当日或之后进行的，则为授权时的工资单交易
                    授权是在客户指定的工资单交易处理时间当日或之后进行的。
                    客户指定的薪资交易处理时间，只要
                    授权时间不超过 K.11.
                    如第 K.11 点所述；",346
"dengan tetap memperhatikan ketentuan terkait waktu pemrosesan
                transaksi Payroll yang berlaku di BCA.","在适当遵守适用于 BCA 的有关薪资交易处理时间的规定的情况下
                适用于巴塞尔公约秘书处。",116
"Nasabah dapat membatalkan transaksi Payroll yang telah
                diotorisasi selambat-lambatnya 1 (satu) hari kalender sebelum
                tanggal pemrosesan transaksi Payroll.","客户可在以下情况下取消已授权的工资单交易
                客户可在不迟于薪资交易处理日期前一（1）个日历日取消已授权的薪资交易。
                日之前取消已授权的薪资交易。",186
"Transaksi Payroll dapat ditujukan ke rekening di BCA maupun ke
                rekening di bank lain dalam negeri dengan mengikuti ketentuan
                yang berlaku di BCA. Layanan transaksi Payroll ke rekening di
                bank lain dalam negeri baru dapat digunakan setelah Nasabah
                mendapatkan persetujuan tertulis terlebih dahulu dari BCA.","薪资交易可直接存入巴塞尔公约秘书处的账户，也可按照以下规定存入其他国内银行的账户
                可按照适用于巴塞尔银行的规定
                适用于北京银行的规定。国内其他银行账户的薪资交易服务
                国内其他银行账户的薪资交易服务只能在客户
                事先获得 BCA 的书面批准。",369
"Transaksi Payroll dengan tujuan ke rekening di bank lain dalam
                negeri akan diproses pada hari kerja. Jika waktu pemrosesan
                transaksi Payroll dengan tujuan ke rekening di bank lain dalam
                negeri jatuh pada hari libur maka transaksi Payroll .","国内银行内其他银行账户的薪资交易将在工作日处理。
                将在工作日处理。如果
                发薪交易的目的地为其他国内银行的账户，则发薪交易将在工作日处理。
                如果发薪交易的目的地为其他国内银行的账户，则发薪交易将在工作日处理。",287
"Khusus untuk transaksi Payroll dengan tujuan ke rekening di bank
                lain dalam negeri, status berhasil pada menu Otorisasi Transaksi
                hanya menandakan bahwa","特别是对于目的地为另一国内银行账户的薪资交易
                对于目的地为另一家国内银行账户的薪资交易，""交易授权 ""菜单上的成功状态
                菜单上的成功状态仅表示",184
file,文件,4
"transaksi Payroll telah
                berhasil dikirim oleh BCA ke bank tujuan.","薪资交易已
                BCA 已成功向目的地银行发送薪资交易。",81
File,文件,4
"transaksi Payroll tersebut dapat diterima atau
                ditolak oleh bank tujuan sesuai hasil pemrosesan yang dilakukan
                oleh bank tujuan.","发薪交易可由目的地银行根据处理结果接受或拒绝。
                目的银行可根据处理结果接受或拒绝薪资交易。
                目的银行的处理结果。",160
"Nasabah menyadari bahwa BCA hanya meneruskan instruksi dari
                Nasabah kepada bank tujuan berdasarkan","客户认识到，巴塞尔公约银行仅将客户的指示转发给目的银行。
                客户只根据",114
file,文件,4
"transaksi
                Payroll yang diinput/di-","交易
                输入/输入的薪资交易",50
upload,上传,6
"oleh Nasabah. BCA tidak
                mempunyai kewajiban untuk meneliti atau menyelidiki kebenaran
                dan akurasi atas data transaksi Payroll yang diinput/di-","由客户提供。巴塞尔公约》不
                没有义务审查或调查由 BCA 输入/输入的薪资交易数据的正确性和准确性。
                由 BCA 输入/输入的薪资交易数据的正确性和准确性。",174
upload,上传,6
"Nasabah bertanggung jawab sepenuhnya atas segala akibat dan
                kerugian yang timbul sehubungan dengan ketidakbenaran atau
                ketidakakuratan data transaksi Payroll tersebut dan dengan ini
                membebaskan BCA dari segala tuntutan, gugatan, dan/atau tindakan
                hukum lainnya dalam bentuk apa pun dari pihak manapun, termasuk
                dari pelanggan Nasabah, sehubungan dengan hal tersebut.","客户对与不真实或
                所产生的一切后果和损失负全部责任。
                薪资交易数据的不真实性或不准确性而产生的一切后果和损失负全部责任，并特此
                免除北京银行对任何一方提出的任何形式的索赔、诉讼和/或其他法律行为的责任，包括
                来自任何一方的任何形式的其他法律诉讼，包括
                客户的客户就此事提起的任何形式的法律诉讼。",446
"Transaksi Payroll ke rekening di bank lain dalam negeri akan
                dikenakan biaya sesuai dengan jenis transaksi Payroll yang
                dipilih.","与其他国内银行账户的薪资交易将按照薪资交易类型收费。
                将根据所选择的薪资交易类型收费。
                选择的类型。",160
"Dalam hal Nasabah menghendaki mengirimkan bukti transaksi
                Payroll ke alamat","如果客户希望将交易证明
                工资单",91
email,电子邮件,5
"penerima dana transaksi Payroll
                maka Nasabah wajib mengisi data alamat","薪资交易资金收款人
                则客户必须填写地址数据",86
email,电子邮件,5
"penerima
                dana transaksi Payroll dalam","收款人
                工资单交易资金",53
file,文件,4
"transaksi Payroll
                yang diinput/di-","薪资交易
                输入/输入的交易",50
upload,上传,6
"oleh Nasabah. Nasabah wajib
                memastikan alamat","由客户提供。客户应
                确保地址",61
email,电子邮件,5
"penerima dana transaksi Payroll
                adalah benar merupakan alamat","薪资交易资金收款人
                是正确的地址",77
email,电子邮件,5
"dari penerima dana
                yang bersangkutan. Nasabah bertanggung jawab sepenuhnya atas
                segala akibat yang timbul terkait pengiriman bukti transaksi
                Payroll yang dilakukan oleh BCA ke alamat","有关资金的接受方
                有关。客户对以下情况负全部责任
                因发送交易证明而产生的任何后果。
                由 BCA 发送至以下地址的薪资交易",230
email,电子邮件,5
"penerima dana transaksi Payroll yang disediakan
                oleh Nasabah.","客户提供的薪资交易资金的收款人
                由客户提供。",77
"BCA berhak mengenakan biaya atas transaksi Payroll yang berhasil
                maupun yang gagal diproses, yang besarnya akan diberitahukan
                oleh BCA dalam bentuk dan melalui sarana apa pun sesuai
                ketentuan yang berlaku.","BCA 保留对成功处理或未能处理的薪资交易收取费用的权利。
                以及未能处理的薪资交易收取费用的权利。
                BCA 将根据适用的相关法规，以任何形式、通过任何方式通知您费用的金额。
                适用法规。",253
"Nasabah wajib memastikan bahwa pada saat pendebetan rekening
                sumber dana yang ditunjuk oleh Nasabah dilakukan, dana dalam
                rekening sumber dana yang ditunjuk oleh Nasabah mencukupi untuk
                keperluan transaksi Payroll dan pembayaran biaya yang dikenakan
                kepada Nasabah sehubungan dengan transaksi Payroll tersebut.","客户必须确保在从账户扣款时
                执行客户指定的资金来源时，客户指定的资金来源账户中的资金足以支付以下费用
                客户指定的资金来源账户中的资金足以用于
                客户必须确保在从客户指定的资金来源账户中扣款时，客户指定的资金来源账户中的资金足以用于薪资交易和支付
                向客户收取的与薪资交易有关的费用。",374
Transaksi Bulk Transfer,Transaksi 散装转运,23
Nasabah wajib meng-,客户有义务,19
upload,上传,6
dan melakukan,并做到,13
release,释放,7
file,文件,4
"transaksi Bulk Transfer pada menu Otorisasi
                Transaksi sesuai dengan ketentuan yang berlaku di BCA yang akan
                diberitahukan kepada Nasabah dalam bentuk dan melalui sarana apa
                pun sesuai ketentuan hukum yang berlaku.","授权菜单上的批量转账交易
                根据 BCA 的适用规定进行交易，该规定将以任何形式和任何方式根据适用法律通知客户。
                根据适用法律，以任何形式、通过任何途径通知客户。
                根据适用的法律规定。",261
"Khusus untuk kiriman uang dengan tujuan bank lain di dalam
                negeri, status berhasil pada menu Otorisasi Transaksi hanya
                menandakan bahwa","特别是对于汇款目的地为国内另一家银行的汇款。
                对于汇款目的地为国内另一家银行的汇款，交易授权菜单上的成功状态仅
                表示",167
file,文件,4
"transaksi telah berhasil dikirim
                oleh BCA ke bank tujuan.","交易已成功发送
                BCA 已将交易成功发送至目的地银行。",73
File,文件,4
"transaksi tersebut dapat
                diterima atau ditolak oleh bank tujuan sesuai hasil pemrosesan
                yang dilakukan oleh bank tujuan.","目的银行可
                目的银行可根据处理结果接受或拒绝该交易。
                目的银行的处理结果。",152
"Nasabah menyadari bahwa BCA hanya meneruskan instruksi dari
                Nasabah kepada bank tujuan berdasarkan","客户认识到，巴塞尔公约银行仅将客户的指示转发给目的银行。
                客户只根据",114
file,文件,4
"transaksi
                Bulk Transfer yang di-","交易
                经授权的批量转账",48
upload,上传,6
"oleh Nasabah. BCA tidak
                mempunyai kewajiban untuk meneliti atau menyelidiki kebenaran
                dan akurasi atas data yang tercantum dalam","由客户提供。巴塞尔公约》不
                有义务审查或调查本协议所含数据的真实性和准确性。
                中数据的真实性和准确性。",160
file,文件,4
transaksi Bulk Transfer yang di-,已获授权的批量转账交易,32
upload,上传,6
"Nasabah bertanggung jawab sepenuhnya atas segala akibat dan
                kerugian yang timbul sehubungan dengan ketidakbenaran atau
                ketidakakuratan data dalam","客户对与不真实或
                与不真实或
                中的不真实或不准确之处而造成的一切后果和损失负全部责任。",177
file,文件,4
"transaksi Bulk
                Transfer. Nasabah dengan ini membebaskan BCA dari segala
                tuntutan, gugatan, dan/atau tindakan hukum lainnya dari pihak
                manapun sehubungan dengan hal tersebut.","批量交易
                转让。客户特此免除 BCA 的以下责任
                客户特此免除 BCA 因与此事件相关的任何一方提出的索赔、诉讼和/或其他法律行动。
                与此事件有关的任何一方的所有索赔、诉讼和/或其他法律行动。",221
"Khusus untuk kiriman uang dengan tujuan bank lain di dalam
                negeri, BCA hanya akan memproses transaksi Bulk Transfer
                dimaksud pada hari kerja. Jika tanggal pemrosesan transaksi Bulk
                Transfer jatuh pada hari libur maka transaksi tersebut akan
                ditolak dan tidak akan diproses oleh BCA.","对于汇往国内其他银行的汇款，巴塞尔银行只处理批量转账交易。
                对于汇往国内银行的汇款，BCA 只在工作日处理批量转账交易。
                交易。如果批量转账交易处理日
                如果批量转账交易的处理日期适逢节假日，则该交易将被拒绝，并且 BCA 将不会处理该交易。
                如果批量转账交易处理日为节假日，则该交易将被拒绝，BCA 将不予处理。",346
"BCA berhak mengenakan biaya atas transaksi Bulk Transfer yang
                berhasil maupun yang gagal diproses, yang besarnya akan
                diberitahukan oleh BCA dalam bentuk dan melalui sarana apa pun
                sesuai ketentuan hukum yang berlaku.","BCA 保留对批量转账交易收取以下费用的权利
                成功或失败处理的交易，其金额将由 BCA 以任何形式和任何方式通知您。
                BCA将根据适用的法律规定，以任何形式、通过任何途径通知您。
                根据适用的法律规定。",265
"Nasabah dapat menentukan jenis pengenaan biaya atas transaksi
                Bulk Transfer, yaitu:","客户可以决定交易的收费类型
                批量转账，即",99
"OUR, yaitu pengenaan biaya atas transaksi Bulk Transfer
                    kepada Nasabah selaku pengirim;","OUR，即对批量转账交易征收费用
                    客户作为发件人的交易；",107
"BEN, yaitu pengenaan biaya atas transaksi Bulk Transfer
                    kepada penerima dana dengan memotong nilai transfer yang
                    akan diterima oleh penerima;","BEN，即对批量转账交易征收费用
                    向资金接收方收取费用，扣除接收方将收到的转账价值
                    收款人将收到的转账金额；",181
"SHA, yaitu pengenaan biaya atas transaksi Bulk Transfer
                    kepada pengirim dan penerima.","SHA，即对大宗转账交易收取费用。
                    这是对发送方和接收方征收的费用。",105
"Dalam hal Nasabah melakukan transaksi Bulk Transfer ke BCA
                Virtual Account, Nasabah menyadari sepenuhnya bahwa Nasabah
                dapat dikenakan biaya atas transaksi Bulk Transfer ke BCA
                Virtual Account tersebut oleh penerima dana dengan jenis
                pengenaan biaya yang berlaku adalah OUR.","如果客户向 BCA 虚拟账户进行批量转账交易
                虚拟账户进行批量转账交易时，客户完全了解
                客户完全了解，资金接收方可能会就向 BCA 虚拟账户进行的批量转账交易向客户收取费用。
                客户完全了解，资金接收方可能会就向BCA虚拟账户进行的批量转账交易向客户收取费用。
                适用的费用类型为 ""用户名""。",338
"Biaya yang timbul atas transaksi Bulk Transfer yang gagal
                diproses akan tetap dikenakan kepada Nasabah.","如果批量转账交易未能处理，则仍将向客户收取费用。
                仍将向客户收取费用。",119
"BCA tidak bertanggung jawab atas kegagalan transaksi Bulk
                Transfer ke BCA Virtual Account yang antara lain disebabkan
                karena perbedaan antara nominal yang ditagihkan kepada Nasabah
                dengan nominal transaksi Bulk Transfer ke BCA Virtual Account
                yang diinput/di-","BCA 不对以下情况负责
                由于以下原因导致无法向 BCA 虚拟账户批量转账，BCA 不承担任何责任
                向客户收取的名义账单金额与向 BCA 虚拟账户批量转账交易金额之间的差额
                与向BCA虚拟账户批量转账交易金额之间的差额
                输入/输入的交易",323
upload,上传,6
oleh Nasabah.,由客户提供。,13
"BCA tidak bertanggung jawab atas kekurangan nilai transfer yang
                seharusnya diterima oleh penerima dana yang diakibatkan oleh
                pengenaan biaya transaksi Bulk Transfer yang ditentukan oleh
                Nasabah.","BCA 不对以下情况负责
                因 BCA 收取的批量转账交易费而导致资金接收方本应收到的转账金额不足，BCA 概不负责。
                由客户确定的批量转账交易费用。
                客户。",242
"Dalam hal Nasabah menghendaki mengirimkan bukti transaksi Bulk
                Transfer ke alamat","如果客户希望发送大宗交易证明
                转账至",97
email,电子邮件,5
"penerima dana transaksi Bulk
                Transfer maka Nasabah wajib mengisi data alamat","批量交易资金收款人
                转账时，客户必须填写地址数据",92
email,电子邮件,5
penerima dana transaksi Bulk Transfer dalam,批量转账交易资金的收款人在,43
file,文件,4
transaksi Bulk Transfer yang di-,已获授权的批量转账交易,32
upload,上传,6
oleh Nasabah. Nasabah wajib memastikan alamat,由客户提供。客户必须确保,45
email,电子邮件,5
"penerima dana transaksi Bulk Transfer adalah
                benar alamat","批量转账交易资金的收款人是
                正确地址",73
email,电子邮件,5
"dari penerima dana yang
                bersangkutan. Nasabah bertanggung jawab sepenuhnya atas segala
                akibat yang timbul terkait pengiriman bukti transaksi Bulk
                Transfer yang dilakukan BCA ke alamat","有关资金的接受方
                有关。客户须对因
                将 BCA 的批量转账证明发送至
                将 BCA 的批量转账证明发送至",231
email,电子邮件,5
"penerima
                dana transaksi Bulk Transfer yang disediakan oleh Nasabah.","收款人
                客户提供的批量转账交易资金。",83
Deal Rate,交易费率,9
"(Kurs Valuta Asing yang Disepakati oleh
            Nasabah dan BCA)","(客户与 BCA 商定的外汇汇率
            客户和巴塞尔公约秘书处）",68
"Pada myBCA Bisnis Nasabah dapat melakukan penyelesaian atas
                transaksi valuta asing yang telah disepakati oleh Nasabah dan
                BCA berdasarkan mekanisme dan sarana yang telah disepakati oleh
                Nasabah dan BCA, setelah Nasabah memperoleh nomor identifikasi","在 myBCA Business 上，客户可以对以下外汇交易进行结算
                根据客户和 BCA 商定的机制和方式，对客户和 BCA 商定的外汇交易进行结算。
                在我的BCA业务上，客户可以在获得识别号码后，根据客户和BCA商定的机制和方式，对客户和BCA商定的外汇交易进行结算。
                客户在获得识别号码后，可在我的BCA业务上，根据客户和BCA商定的机制和方式，对客户和BCA商定的外汇交易进行结算。",296
deal,交易,4
transaksi valuta asing (,经轴引流（,24
Deal ID,交易 ID,7
") yang
                diberikan oleh BCA.",")。
                由 BCA 提供。",42
"Untuk melakukan penyelesaian transaksi valuta asing sebagaimana
                dimaksud dalam huruf a di atas di myBCA Bisnis, Nasabah dapat
                menggunakan fitur transfer yang terdapat di myBCA Bisnis dan
                memilih nomor","为了在我的BBCA Bisnis进行上述a项所述的外汇交易结算，客户可以
                在我的BBCA业务中，如上文字母a所述，客户可以
                使用「我的BBCA比斯尼」內的轉賬功能及
                选择号码",248
Deal ID,交易 ID,7
"atas transaksi valuta asing yang
                hendak diselesaikan oleh Nasabah. Nasabah wajib menyerahkan
                semua data dan dokumen yang dipersyaratkan untuk keperluan
                penyelesaian transaksi valuta asing sesuai dengan ketentuan dan
                prosedur yang berlaku di BCA.","的外汇交易。
                由客户结算。客户应提交
                为以下目的所需的所有数据和文件
                客户应根据适用于 BCA 的规定和程序，提交为结算外汇交易所需的所有数据和文件。
                客户应根据 BCA 适用的规定和程序，提交为结算外汇交易所需的所有数据和文件。",309
"Penyelesaian transaksi valuta asing yang dilakukan oleh Nasabah
                pada myBCA Bisnis tunduk pada ketentuan mengenai transaksi
                valuta asing yang berlaku bagi Nasabah. Dalam hal Nasabah tidak
                melakukan penyelesaian transaksi valuta asing sampai dengan
                batas waktu yang ditentukan, maka BCA berhak untuk membatalkan
                transaksi tersebut dan mengenakan denda pembatalan transaksi
                yang besarnya akan ditentukan oleh BCA berdasarkan kerugian yang
                dialami BCA atas pembatalan transaksi tersebut.","客户在 myBCA 业务上进行的外汇交易结算
                在 myBCA 商業網站上進行的外匯交易，須遵守適用於客戶的外匯交易規定。
                适用于客户的外汇交易。如果客户没有
                结算外汇交易。
                如果客户未在规定的时限内结清外汇交易，BCA有权取消该交易并征收交易取消罚款。
                交易，并收取交易取消罚金。
                罚金金额由 BCA 根据客户因取消交易而遭受的损失确定。
                该罚金金额将由 BCA 根据因取消交易而造成的损失确定。",595
J-Valas,J-Valas,7
Nasabah dapat menunjuk pemegang,客户可指定持有人,31
User ID,用户 ID,7
"untuk melakukan
                transaksi:","执行
                交易：",42
jual beli valuta asing pada menu J-Valas di myBCA Bisnis;,在 myBCA Business 的 J-Valas 菜单上购买和出售外汇；,57
settlement,定居点,10
"atas transaksi jual beli valuta asing
                    melalui menu J-Valas jika memilih jenis","外汇买卖交易
                    通过 J-Valas 菜单，如果您选择的类型是",97
settlement,定居点,10
transaksi,变速箱,9
Auto,汽车,4
"dan melalui
                    myBCA Bisnis jika memilih jenis","以及通过
                    如果您选择",63
settlement,定居点,10
transaksi Manual; dan,人工交易；以及,21
"transaksi lainnya yang dapat dilakukan di J-Valas sesuai
                    ketentuan mengenai penggunaan J-Valas yang berlaku di BCA.","根据适用于 BCA 的 J-Valas 使用规定，可在 J-Valas 进行的其他交易。
                    在 BCA 使用 J-Valas 的相关规定。",135
Transaksi pada J-Valas yang dilakukan oleh Nasabah atau pemegang,客户或 J-Valas 持有人在 J-Valas 上进行的交易。,64
User ID,用户 ID,7
"tunduk pada ketentuan mengenai penggunaan
                J-Valas yang berlaku di BCA.","使用 J-Valas 的规定。
                J-Valas 的规定。",86
"Nasabah bertanggung jawab sepenuhnya atas segala akibat yang
                timbul dari transaksi yang dilakukan oleh Nasabah atau pemegang","客户对以下情况造成的一切后果负全部责任
                因客户或客户卡持有人进行的交易而产生的一切后果由客户承担全部责任。",140
User ID,用户 ID,7
"di J-Valas dan dengan ini membebaskan BCA dari
                segala tuntutan, gugatan, dan/atau tindakan hukum lainnya dalam
                bentuk apapun sehubungan dengan kekeliruan data yang diinput
                Nasabah.","并特此免除 BCA 的以下责任
                与客户输入的数据有关的任何形式的索赔、诉讼和/或其他法律行为。
                与客户输入的数据有关的任何形式的索赔、诉讼和/或其他法律行动。
                客户。",228
Pembayaran,付款方式,10
Bayar dan Isi Ulang,支付和充值,19
Nasabah dapat melakukan pembayaran:,客户可以付款：,35
"tagihan atau pembelian voucher isi ulang yang disediakan
                    oleh perusahaan penyedia jasa yang telah bekerja sama secara
                    langsung atau tidak langsung dengan BCA, yang terdaftar pada
                    myBCA Bisnis;","账单或购买充值券
                    由直接或间接与 BCA 合作的服务提供商公司提供的充值券。
                    直接或间接与 BCA 合作的服务提供商提供的账单或购买充值券，这些服务提供商在
                    myBCA Bisnis；",252
